ID,Name ,SW,SO,NO,NW
1,Spitzwegerich,Keine Daten,,,
2,Horst-Gras,50,bis zu 25,bis zu 50,bis zu 75
3,Veronica,50,50,bis zu 5,5 bis 25
4,Lamiaceae, unter 1,bis zu 1,1 bis 5,1 bis 5
5,Taraxacum,unter 1,bis 5,unter 1,unter 1
6,Plant with leaf metamorphosis,unter 1,bis 5,0,unter 1
7,Gallium,unter 1,unter 1, unter 1 ,unter 1 
8,Fuzzy plant pink stem,Keine Daten,,,
9,Fern like plant small,unter 1,unter 1 ,5 bis 10,5 bis 10
10,Sauerampfer,0,0,0,unter 1
11,Grass like pink flower,0,0,0,0
12,Fern like big,0,0,0,0
